Label,StopwordRemovedSentence
positive,costume consists coarse capote black wool known scandinavian countries vadmel broad brimmed hat trousers red serge piece leather tied strings shoe coarse kind moccasin
negative,women though sad looking mournful rather agreeable features without much expression
negative,wear bodice petticoat somber vadmel
neutral,unmarried wear little brown knitted cap crown plaited hair married cover heads colored handkerchief tie white scarf
positive,returned dinner ready
positive,meal devoured worthy relative avidity voracity
positive,shipboard diet turned interior perfect gulf
positive,repast danish icelandic nothing excessive hospitality host made us enjoy doubly
positive,conversation turned upon scientific matters fridriksson asked uncle thought public library
neutral,library sir
negative,cried uncle appears collection useless odd volumes beggarly amount empty shelves
neutral,
positive,cried fridriksson eight thousand volumes rare valuable works scandinavian language besides new publications copenhagen
positive,eight thousand volumes dear sir
negative,cried uncle
neutral,scattered country professor hardwigg
positive,studious dear sir though live iceland
neutral,every farmer every laborer every fisherman read write think books instead locked cupboards far sight students distributed widely possible
neutral,books library therefore passed hand hand without returning library shelves perhaps years
neutral,foreigners visit nothing see
positive,well sir foreigners libraries first consideration humbler classes highly educated
positive,fortunately love study innate icelandic people
positive,1816 founded literary society mechanics institute many foreign scholars eminence honorary members publish books destined educate people books rendered valuable services country
positive,allow honor professor hardwigg enroll honorary member
positive,uncle already belonged nearly every literary scientific institution europe immediately yielded amiable wishes good fridriksson
positive,said many expressions gratitude good tell books expected find perhaps may assistance
neutral,watched uncle keenly
neutral,minute two hesitated unwilling speak speak openly perhaps unveil projects
neutral,nevertheless reflection made mind
positive,well fridriksson said easy unconcerned kind way desirous ascertaining among valuable works learned arne saknussemm
neutral,arne saknussemm
positive,cried professor reykjavik speak one distinguished scholars sixteenth century great naturalist great alchemist great traveler
neutral,exactly
neutral,one distinguished men connected icelandic science literature
neutral,say sir man illustrious
positive,yes sir true works
neutral,none
neutral,iceland
negative,none iceland elsewhere answered sadly
neutral,
negative,arne saknussemm persecuted heresy 1573 works publicly burnt copenhagen hands common hangman
positive,good
neutral,capital
positive,murmured uncle great astonishment worthy icelander
positive,said sir yes yes clear see link chain everything explained understand arne saknussemm put court forced hide magnificent discoveries compelled conceal beneath veil incomprehensible cryptograph secret secret
negative,secret stammered uncle
positive,discovered wonderful manuscript
negative,cried fridriksson
neutral,
neutral,carried away enthusiasm
neutral,mere supposition
positive,good sir
positive,really turn another subject hope leave island without examining mineralogical riches
neutral,well fact rather late
neutral,many learned men
positive,yes yes still much done cried fridriksson
